Title,Units,Amount,Normalized unit,Price
True Elements Berries Mix  ,30g,30,gm,90.00
Sara Foods Brazil Nuts ,200gm,200,gm,1050.00
Harlal,100gm,100,gm,282.00
Combo Dry Fruits s,800gm,800,gm,1310.00
Dry Black Date (Kalo Chokada) ,1KG,1000,gm,420.00
Bhumi Nepal Dried Cranberry,500g,500,gm,1200.00
Harlal'S Unique Almond ,100G,100,gm,180.00
Almond Nuts ,500g,500,gm,700.00
Walnut (Whole) ,500gm,500,gm,310.00
Cashew Nuts (Kaju),100Gm,100,gm,180
Combo ,200Gm,200,gm,1799.00
Harlal's Unique Cashewnuts ,200gm,200,gm,488.00
Pistachio (Pesta) ,100g,100,gm,225.00
Walnut ,500g,500,gm,330.00
Almond Nuts ,100g,100,gm,140.00
Almonds ,500gm,500,gm,700.00
Makhana ,500g,500,gm,450.00
Wallnut   / Okhar / Fresh Walnut ,1Kg,1000,gm,660.00
Walnut Kernels (Guddhi) ,500gm,500,gm,750.00
Walnut  Okhar ,1Kg,1000,gm,680.00
Roasted Dry Fruits  Pistachio  Pista  ,500Gm,500,gm,1160.00
Dry Raisins (Green Kismis) ,500g,500,gm,325.00
Big Choice Cashew Nut Regular ,500gm,500,gm,945.00
Dry Raisins (Green Kismis) ,200g,200,gm,130.00
Apricot Dry  / Khurpani ,250Gm,250,gm,340.00
Green Raisin Fresh ,500Gm,500,gm,290.00
Almond Nuts (Badam),1Kg,1000,gm,1650.00
Dates (White) ,500gm,500,gm,200.00
Fox Nuts (Makhana),250Gm,250,gm,245
Makhana ,250g,250,gm,250.00
Dry Fig (Anjeer) ,500g,500,gm,1000.00
Peanuts ,1kg,1000,gm,250.00
Cashew Nuts (Kaju),500Gm,500,gm,865
Dry Fig (Anjeer) ,200g,200,gm,420.00
Walnut Kernels (Gudi) ,100g,100,gm,160.00
Gopala Premium Makhana ,250g,250,gm,275.00
Big Choice Walnut Whole ,400G,400,gm,282.00
Dry Red Raisin (Rato Dakh),500Gm,500,gm,675
Makhana ( Fox Nuts) ,250gm,250,gm,280.00
Soft Walnut / Okhar ,200Gm,200,gm,200.00
